Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,,7,-42.00,17.24,1,2,0,3,2,0,2,0,3,2,0,7,7
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,OR 100WW PKT THIN 8P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,OR HLTHY MG PKT 8P11,7,-40.41,17.24,1,2,0,3,2,0,2,0,3,2,0,7,7
SANDWICH ALTERNATIVE,BOBOLI BRANDS,,,8,-21.01,24.47,2,0,0,0,0,24,0,0,0,0,24,24,24
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,,8,-21.01,24.47,2,0,0,0,0,24,0,0,0,0,24,24,24
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,BOB 12 OG TNCST 10Z,3,72.22,67.74,2,0,0,0,0,14,0,0,0,0,14,14,14
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB 12"" OG CST 14Z",5,186.36,3.17,0,0,0,0,0,10,0,0,0,0,10,10,10
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB 8"" OG CST 2P10Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,BOB LG SAUCE 3P15Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB TN 12"" WWCST 10Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDWICH ALTERNATIVE,TIA ROSA,,,120,19.97,4.39,5,11,47,0,58,79,11,11,0,35,79,195,136
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,,24,544.44,3.45,1,0,12,0,12,24,0,0,0,0,24,48,24
